Hududlar nomi;Aholi soni, ming kishi;Iqtisodiy ko'rsatkichlar %
Shahrihon tumani;303,7;30,37
Asaka tumani;332,6;33,26
Qorgontepa tumani;218,4;21,84
Andijon tumani;267,1;26,71
Baliqchi tumani;203,1;20,31
Andijon shahar;450;45
Oltinkol tumani;180,5;18,05
Jalaquduq tumani;187,9;18,79
Izboskan tumani;241,2;24,12
Paxtaobod tumani;195,5;19,55
Marhamat tumani;175,1;17,51
Xojaobod tumani;111,7;11,17
Buloqboshi tumani;144,5;14,45
Boston tumani;73,1;7,31
Ulugnor tumani;60,5;6,05
Honobod shahar;43,2;4,32
